fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2008-09-30,33594000000.0,,9004000000.0,15061000000.0,12213000000.0,5999000000.0,5999000000.0,4373000000.0,9084000000.0,,,,,,MSFT
2008-12-31,34478000000.0,,8346000000.0,31690000000.0,12722000000.0,11938000000.0,11938000000.0,8547000000.0,8994000000.0,,,,,,MSFT
2009-03-31,36943000000.0,,7285000000.0,45338000000.0,10834000000.0,16376000000.0,16376000000.0,11524000000.0,8960000000.0,,,,,,MSFT
2009-06-30,39558000000.0,5746000000.0,6076000000.0,58437000000.0,46282000000.0,20363000000.0,20363000000.0,14569000000.0,8908000000.0,150526000000.0,82051000000.0,54676000000.0,54676000000.0,39013000000.0,MSFT
2009-09-30,41212000000.0,5996000000.0,8823000000.0,12920000000.0,10078000000.0,4482000000.0,4482000000.0,3574000000.0,8900000000.0,148385000000.0,79916000000.0,53159000000.0,53159000000.0,38214000000.0,MSFT
2009-12-31,44283000000.0,5995000000.0,9422000000.0,31942000000.0,15394000000.0,12995000000.0,12995000000.0,10236000000.0,8811000000.0,148637000000.0,82588000000.0,54216000000.0,54216000000.0,39903000000.0,MSFT
2010-03-31,45710000000.0,5995000000.0,8155000000.0,46445000000.0,11748000000.0,18168000000.0,18168000000.0,14242000000.0,8762000000.0,149744000000.0,83502000000.0,56008000000.0,56008000000.0,42621000000.0,MSFT
2010-06-30,46175000000.0,5939000000.0,5505000000.0,-29605000000.0,14320000000.0,-10215000000.0,-10215000000.0,-5684000000.0,8668000000.0,61702000000.0,51540000000.0,25430000000.0,25430000000.0,22368000000.0,MSFT
2010-09-30,46942000000.0,10665000000.0,8161000000.0,16195000000.0,13056000000.0,7116000000.0,7116000000.0,5410000000.0,8562000000.0,64977000000.0,54518000000.0,28064000000.0,28064000000.0,24204000000.0,MSFT
2010-12-31,48481000000.0,9671000000.0,4023000000.0,36148000000.0,15120000000.0,15281000000.0,15281000000.0,12044000000.0,8403000000.0,69183000000.0,54244000000.0,30350000000.0,30350000000.0,26012000000.0,MSFT
2011-03-31,53452000000.0,11915000000.0,7021000000.0,52576000000.0,12531000000.0,20990000000.0,20990000000.0,17276000000.0,8431000000.0,75314000000.0,55027000000.0,33172000000.0,33172000000.0,29046000000.0,MSFT
2011-06-30,57083000000.0,11921000000.0,9610000000.0,-34976000000.0,13659000000.0,-16226000000.0,-16226000000.0,-11580000000.0,8376000000.0,69943000000.0,54366000000.0,27161000000.0,27161000000.0,23150000000.0,MSFT
2011-09-30,59391000000.0,11927000000.0,12881000000.0,17372000000.0,13595000000.0,7203000000.0,7203000000.0,5738000000.0,8410000000.0,71120000000.0,54905000000.0,27248000000.0,27248000000.0,23478000000.0,MSFT
2011-12-31,64121000000.0,11932000000.0,10610000000.0,38257000000.0,28842000000.0,15197000000.0,15197000000.0,12362000000.0,8382000000.0,73229000000.0,68627000000.0,27164000000.0,27164000000.0,23796000000.0,MSFT
